Name,Distance,Link,Address,Phone Number
Parkside Manor,23.4,https://www.aplaceformom.com/community/parkside-manor-151784,"6300 67th Street, Kenosha, WI 53142",(262) 657-7010
Grace Point Place Memory Care,36.8,https://www.aplaceformom.com/community/grace-point-place-memory-care-1411912,"5701 W 101st St, Oak Lawn, IL 60453",(708) 290-3255
Arbor Terrace Highland Park,4.3,https://www.aplaceformom.com/community/arbor-terrace-highland-park-1441720,"1000 Central Ave, Highland Park, IL 60035",(847) 681-3636
Brookdale Orland Park,44.2,https://www.aplaceformom.com/community/brookdale-orland-park-89610,"16051 South La Grange Road, Orland Park, IL 60467",(708) 403-2001
Brookdale Lake Shore Drive,23.5,https://www.aplaceformom.com/community/brookdale-lake-shore-drive-68758,"2960 North Lake Shore Drive, Chicago, IL 60657",(773) 880-2960
Sunrise of Flossmoor,49.5,https://www.aplaceformom.com/community/sunrise-of-flossmoor-68631,"19715 Governor Highway, Flossmoor, IL 60422",(708) 798-1600
The Auberge at Lake Zurich,12.4,https://www.aplaceformom.com/community/the-auberge-at-lake-zurich-140326,"555 America Ct, Lake Zurich, IL 60047",(847) 307-6990
Heritage Woods of Huntley,30.7,https://www.aplaceformom.com/community/heritage-woods-of-huntley-152084,"12450 Regency Pkwy, Huntley, IL 60142",(847) 669-5185
Brighton Gardens of Wheaton,30.8,https://www.aplaceformom.com/community/brighton-gardens-of-wheaton-68607,"831 East Butterfield Road, Wheaton, IL 60189",(630) 681-1234
Harbour Village,49.6,https://www.aplaceformom.com/community/harbour-village-67411,"5700 Mockingbird Lane, Greendale, WI 53129",(414) 421-9600
Waverly Inn Memory Care & Cottages,11.0,https://www.aplaceformom.com/community/waverly-inn-memory-care-cottages-1395436,"515 W Rand Rd, Arlington Heights, IL 60004",(224) 248-8916
Waterford Estates Senior Living,46.6,https://www.aplaceformom.com/community/waterford-estates-senior-living-68636,"17400 Kedzie Rd., Hazel Crest, IL 60429",(708) 335-1600
Charter Senior Living of Hazel Crest,47.7,https://www.aplaceformom.com/community/charter-senior-living-of-hazel-crest-1392487,"3701 W 183rd St, Hazel Crest, IL 60429",(708) 799-7099
The Sheridan at Oak Brook,27.1,https://www.aplaceformom.com/community/the-sheridan-at-oak-brook-1449873,"2055 Clearwater Dr, Oak Brook, IL 60523",(630) 394-5116
Ascension Living Fox Knoll Village,40.5,https://www.aplaceformom.com/community/ascension-living-fox-knoll-village-89626,"421 North Lake Street, Aurora, IL 60506",(630) 844-0380
Ascension Living Bethlehem Woods Village,28.8,https://www.aplaceformom.com/community/ascension-living-bethlehem-woods-village-89647,"1571 West Ogden Avenue, La Grange Park, IL 60526",(708) 579-3663
Sunrise of Naperville,35.4,https://www.aplaceformom.com/community/sunrise-of-naperville-89656,"960 East Chicago Avenue, Naperville, IL 60540",(630) 579-1400
Arden Courts of Glen Ellyn,30.3,https://www.aplaceformom.com/community/arden-courts-of-glen-ellyn-89484,"2 South 706 Park Blvd., Glen Ellyn, IL 60137",(224) 250-5562
Charter Senior Living Vernon Hills,6.1,https://www.aplaceformom.com/community/charter-senior-living-vernon-hills-146352,"500 Atrium Dr, Vernon Hills, IL 60061",(847) 996-1000
Brookdale Kenosha,23.4,https://www.aplaceformom.com/community/brookdale-kenosha-72397,"10108 74th Street, Kenosha, WI 53142",(262) 694-6101
"The Oaks at Bartlett, a CCRC",24.7,https://www.aplaceformom.com/community/the-oaks-at-bartlett-a-ccrc-139966,"825 Carillon Dr, Bartlett, IL 60103",(630) 372-1983
Caledonia Senior Living,27.5,https://www.aplaceformom.com/community/caledonia-senior-living-89661,"2800 Des Plaines Ave, North Riverside, IL 60546",(708) 447-5092
Anthology of Wheaton,29.6,https://www.aplaceformom.com/community/anthology-of-wheaton-1397603,"219 Parkway Dr, Wheaton, IL 60187",(630) 752-0644
Belmont Village Oak Park,24.9,https://www.aplaceformom.com/community/belmont-village-oak-park-89541,"1035 Madison Street, Oak Park, IL 60302",(708) 725-1081
Sedgebrook,5.4,https://www.aplaceformom.com/community/sedgebrook-139698,"800 Audubon Way, Lincolnshire, IL 60069",(847) 876-2100
Emerald Place,10.6,https://www.aplaceformom.com/community/emerald-place-1388162,"1879 Chestnut Avenue, Glenview, IL 60025",(224) 206-9588
Harvester Place,33.6,https://www.aplaceformom.com/community/harvester-place-1386329,"150 S Frontage Rd, Burr Ridge, IL 60527",(630) 230-5155
Arden Courts of Palos Heights,38.9,https://www.aplaceformom.com/community/arden-courts-of-palos-heights-68655,"7880 W College Dr, Palos Heights, IL 60463",(708) 361-8070
Artis of Bartlett,26.1,https://www.aplaceformom.com/community/artis-of-bartlett-1409228,"1035 S Route 59, Bartlett, IL 60103",(630) 855-5939
Atrium at Oak Crest Residence,26.5,https://www.aplaceformom.com/community/atrium-at-oak-crest-residence-68586,"204 South State Street, Elgin, IL 60123",(847) 742-2255
Park Place of Elmhurst,26.3,https://www.aplaceformom.com/community/park-place-of-elmhurst-1334829,"1150 Euclid Ave, Elmhurst, IL 60126",(630) 333-4343
Oak Trace a CCRC,33.3,https://www.aplaceformom.com/community/oak-trace-a-ccrc-68675,"200 Village Drive, Downers Grove, IL 60516",(630) 769-6200
The Landing on Dundee Senior Living,7.7,https://www.aplaceformom.com/community/the-landing-on-dundee-senior-living-1386952,"156 W Dundee Rd, Wheeling, IL 60090",(847) 865-8100
The Springs of Vernon Hills,4.8,https://www.aplaceformom.com/community/the-springs-of-vernon-hills-1381157,"350 S Milwaukee Ave, Vernon Hills, IL 60061",(847) 634-9300
Northbrook Inn Memory Care Community,7.8,https://www.aplaceformom.com/community/northbrook-inn-memory-care-community-1379316,"99 Pointe Dr, Northbrook, IL 60062",(224) 261-8352
Alden Gardens of Bloomingdale,23.6,https://www.aplaceformom.com/community/alden-gardens-of-bloomingdale-153947,"285 E Army Trail Rd, Bloomingdale, IL 60108",(630) 307-7273
The Heathers Senior Homes,27.5,https://www.aplaceformom.com/community/the-heathers-senior-homes-1449796,"4570 Princeton Ln, Lake In The Hills, IL 60156",(224) 858-7212
Home Harbor Assisted Living,32.9,https://www.aplaceformom.com/community/home-harbor-assisted-living-87886,"1600 Ohio Street, Racine, WI 53405",(262) 619-0000
Gurnee Place Memory Care,10.4,https://www.aplaceformom.com/community/gurnee-place-memory-care-1387098,"505 N. Hunt Club Road, Gurnee, IL 60031",(847) 855-1380
Celebrate Senior Living of Niles,15.9,https://www.aplaceformom.com/community/celebrate-senior-living-of-niles-89805,"7000 North Newark Avenue, Niles, IL 60714",(847) 647-8332
Amazing Grace Senior Living,17.2,https://www.aplaceformom.com/community/amazing-grace-senior-living-1446501,"7432 W Talcott, Chicago, IL 60631",(773) 250-7000
Silverado St. Charles,32.0,https://www.aplaceformom.com/community/silverado-st-charles-1413606,"4058 E Main S, Saint Charles, IL 60174",(630) 793-4464
Asbury Court Senior Living Community,15.0,https://www.aplaceformom.com/community/asbury-court-senior-living-community-89380,"1750 South Elmhurst Rd, Des Plaines, IL 60018",(847) 228-1500
Willow Falls,49.3,https://www.aplaceformom.com/community/willow-falls-98640,"1681 Willow Circle Dr, Crest Hill, IL 60403",(815) 725-5868
Magnolia Senior Living,30.2,https://www.aplaceformom.com/community/magnolia-senior-living-1361466,"10 N Washington St, Hinsdale, IL 60521",(630) 491-1000
Sunrise Villa Olympia Fields,49.6,https://www.aplaceformom.com/community/sunrise-villa-olympia-fields-72711,"3633 Breakers Dr, Olympia Fields, IL 60461",(708) 747-3333
Sunrise of Crystal Lake,22.8,https://www.aplaceformom.com/community/sunrise-of-crystal-lake-95100,"751 East Terra Cotta Avenue, Crystal Lake, IL 60014",(815) 444-6600
Porter Place Memory Care,46.5,https://www.aplaceformom.com/community/porter-place-memory-care-1388161,"17833 S Harlem Ave, Tinley Park, IL 60477",(708) 781-1050
Sunrise of Highland Park,4.6,https://www.aplaceformom.com/community/sunrise-of-highland-park-99761,"1601 Green Bay Road, Highland Park, IL 60035",(847) 681-1620
The Pointe at Kilpatrick,42.2,https://www.aplaceformom.com/community/the-pointe-at-kilpatrick-1359992,"14230 S Kilpatrick Ave, Crestwood, IL 60418",(708) 293-0010
Belmont Village Glenview,12.7,https://www.aplaceformom.com/community/belmont-village-glenview-96568,"2200 Golf Road, Glenview, IL 60025",(847) 657-7100
Concord Place,23.3,https://www.aplaceformom.com/community/concord-place-89500,"401 W Lake St, Northlake, IL 60164",(708) 562-9000
Sunrise of Schaumburg,17.4,https://www.aplaceformom.com/community/sunrise-of-schaumburg-95102,"790 North Plum Grove Road, Schaumburg, IL 60173",(847) 517-9700
Arden Courts of Northbrook,10.0,https://www.aplaceformom.com/community/arden-courts-of-northbrook-68554,"3240 Milwaukee Ave, Northbrook, IL 60062",(847) 795-9000
Arbor Terrace Glenview,10.4,https://www.aplaceformom.com/community/arbor-terrace-glenview-1421222,"4700 W Lake Ave, Glenview, IL 60025",(224) 616-2422
Belmont Village Buffalo Grove,7.9,https://www.aplaceformom.com/community/belmont-village-buffalo-grove-96569,"500 McHenry Road, Buffalo Grove, IL 60089",(847) 537-5000
Bickford of St. Charles,34.2,https://www.aplaceformom.com/community/bickford-of-st-charles-148191,"2875 Campton Hills Rd., Saint Charles, IL 60175",(630) 587-8800
Heritage Woods of Plainfield,46.7,https://www.aplaceformom.com/community/heritage-woods-of-plainfield-1342870,"14731 S. Van Dyke Rd, Plainfield, IL 60544",(815) 267-3800
Lincolnwood Place,17.3,https://www.aplaceformom.com/community/lincolnwood-place-89800,"7000 North McCormick Boulevard, Lincolnwood, IL 60712",(847) 673-7166
Sunnymere,41.1,https://www.aplaceformom.com/community/sunnymere-68666,"925 Sixth Avenue, Aurora, IL 60505",(630) 898-7844
Addolorata Villa,7.8,https://www.aplaceformom.com/community/addolorata-villa-89440,"555 McHenry Rd, Wheeling, IL 60090",(847) 808-4421
The Sheridan at Tyler Creek,27.4,https://www.aplaceformom.com/community/the-sheridan-at-tyler-creek-1389329,"508 North McLean, Elgin, IL 60123",(224) 268-3268
Cordia Senior Residence,29.8,https://www.aplaceformom.com/community/cordia-senior-residence-96221,"865 North Cass Avenue, Westmont, IL 60559",(630) 887-7000
Autumn Leaves of Franklin,46.9,https://www.aplaceformom.com/community/autumn-leaves-of-franklin-1401055,"9201 W Drexel Ave, Franklin, WI 53132",(414) 377-9536
Sunrise of Naperville North,35.0,https://www.aplaceformom.com/community/sunrise-of-naperville-north-97201,"535 West Ogden Avenue, Naperville, IL 60563",(630) 305-9400
The Addison of Pleasant Prairie,22.7,https://www.aplaceformom.com/community/the-addison-of-pleasant-prairie-1389328,"9651 Prairie Ridge Blvd, Pleasant Prairie, WI 53158",(262) 455-7431
Victory Centre of Vernon Hills,6.1,https://www.aplaceformom.com/community/victory-centre-of-vernon-hills-1371504,"97 W Phillip Road, Vernon Hills, IL 60061",(847) 549-6070
River Glen of St. Charles,32.1,https://www.aplaceformom.com/community/river-glen-of-st-charles-68604,"975 N 5th Ave, Saint Charles, IL 60174",(630) 443-8220
Oak Park Place - Oak Creek,45.0,https://www.aplaceformom.com/community/oak-park-place-oak-creek-1441115,"1980 W Rawson Ave,, Oak Creek, WI 53154",(414) 574-4500
Sunrise of Buffalo Grove,6.5,https://www.aplaceformom.com/community/sunrise-of-buffalo-grove-89439,"180 West Half Day Road, Buffalo Grove, IL 60089",(847) 478-8484
White Oaks at Heritage Woods of Huntley,30.9,https://www.aplaceformom.com/community/white-oaks-at-heritage-woods-of-huntley-1405967,"12450 Regency Parkway, Huntley, IL 60142",(847) 669-5185
Mount Prospect Senior Living,12.5,https://www.aplaceformom.com/community/mount-prospect-senior-living-1445872,"1111 S. Linneman Road, Mount Prospect, IL 60056",(847) 250-6029
Lexington Square Lombard a CCRC,28.6,https://www.aplaceformom.com/community/lexington-square-lombard-a-ccrc-153106,"555 Foxworth Boulevard, Lombard, IL 60148",(630) 629-2900
The Sheridan at River Forest,23.8,https://www.aplaceformom.com/community/the-sheridan-at-river-forest-1449872,"800 N Harlem Ave, River Forest, IL 60305",(708) 813-9265
ProHealth Care Regency Senior Communities - Muskego,47.5,https://www.aplaceformom.com/community/pro-health-care-regency-senior-communities-muskego-102190,"W181 S8540 Lodge Boulevard, Muskego, WI 53150",(262) 679-0888
Dimensions Living Prospect Heights,10.9,https://www.aplaceformom.com/community/dimensions-living-prospect-heights-89424,"700 E Euclid Ave, Prospect Heights, IL 60070",(847) 797-2700
Lakeview Memory Care,22.4,https://www.aplaceformom.com/community/lakeview-memory-care-1395434,"241 E Lake St, Bloomingdale, IL 60108",(847) 466-5
Waterford Place Assisted Living & Memory Care,42.2,https://www.aplaceformom.com/community/waterford-place-assisted-living-memory-care-1450506,"808 Cornerstone Crossing, Waterford, WI 53185",(262) 914-3188
Franciscan Village,39.2,https://www.aplaceformom.com/community/franciscan-village-89583,"1270 Village Drive, Lemont, IL 60439",(630) 243-3500
Burr Oak Manor,30.3,https://www.aplaceformom.com/community/burr-oak-manor-87268,"264 Walworth St., Genoa City, WI 53128",(262) 279-9990
Kenosha Place II,28.6,https://www.aplaceformom.com/community/kenosha-place-ii-1441225,"5060 Green Bay Rd, Kenosha, WI 53144",(262) 653-9457
Clifden Court Assisted Living and Memory Care,48.1,https://www.aplaceformom.com/community/clifden-court-assisted-living-and-memory-care-1346826,"6801 W Loomis Rd, Greendale, WI 53129",(414) 858-0717
Three Oaks Assisted Living,20.5,https://www.aplaceformom.com/community/three-oaks-assisted-living-1346462,"1055 Silver Lake Road, Cary, IL 60013",(847) 516-6016
Aspired Living of Westmont,32.9,https://www.aplaceformom.com/community/aspired-living-of-westmont-1397604,"407 W 63rd St, Westmont, IL 60559",(630) 960-4400
Bickford of Oswego,46.7,https://www.aplaceformom.com/community/bickford-of-oswego-147846,"3712 Grove, Oswego, IL 60543",(630) 554-8811
Bickford of Gurnee,10.1,https://www.aplaceformom.com/community/bickford-of-gurnee-1400658,"301 S Hunt Club Rd, Gurnee, IL 60031",(847) 281-0780
Celebrate Senior Living of South Holland,45.9,https://www.aplaceformom.com/community/celebrate-senior-living-of-south-holland-1361552,"16300 Louis Avenue, South Holland, IL 60473",(708) 225-5690
Sunrise of Barrington,16.2,https://www.aplaceformom.com/community/sunrise-of-barrington-143030,"510 West Northwest Highway, Barrington, IL 60010",(847) 382-8888
The Sheridan at Park Ridge,15.2,https://www.aplaceformom.com/community/the-sheridan-at-park-ridge-1412200,"510 N Greenwood, Park Ridge, IL 60068",(224) 412-8004
Lexington Square of Elmhurst a CCRC,26.4,https://www.aplaceformom.com/community/lexington-square-of-elmhurst-a-ccrc-89479,"400 W. Butterfield Road, Elmhurst, IL 60126",(630) 832-9922
Bickford of Aurora,42.5,https://www.aplaceformom.com/community/bickford-of-aurora-1390996,"7 South Orchard Rd, Aurora, IL 60506",(630) 631-5555
White Oaks of Spring Street,28.5,https://www.aplaceformom.com/community/white-oaks-of-spring-street-1405966,"1300 Spring Street, South Elgin, IL 60177",(847) 717-3187
Cantata Adult Life Services a CCRC,27.6,https://www.aplaceformom.com/community/cantata-adult-life-services-a-ccrc-1360261,"8700 W 31st Street, Brookfield, IL 60513",(708) 485-5535
Ramsey Woods,48.5,https://www.aplaceformom.com/community/ramsey-woods-87673,"3210 East Ramsey Ave, Cudahy, WI 53110",(414) 744-4663
Sherwood Lodge LLC,42.8,https://www.aplaceformom.com/community/sherwood-lodge-llc-1363377,"116 Cherry st, Williams Bay, WI 53191",(262) 245-7320
St. Anthony of Lansing Supportive Living,48.5,https://www.aplaceformom.com/community/st-anthony-of-lansing-supportive-living-1363628,"3025 Spring Lake Drive, Lansing, IL 60438",(708) 474-6100
Shepherd of Harvard,41.1,https://www.aplaceformom.com/community/shepherd-of-harvard-68545,"210 E Front St, Harvard, IL 60033",(815) 943-3350
Grand Victorian of Sycamore,46.8,https://www.aplaceformom.com/community/grand-victorian-of-sycamore-140476,"1440 Somonauk Street, Sycamore, IL 60178",(779) 222-2860
Trulee Evanston,15.3,https://www.aplaceformom.com/community/trulee-evanston-1449680,"1815 Ridge Ave, Evanston, IL 60201",(847) 960-5555
Alden Des Plaines,12.9,https://www.aplaceformom.com/community/alden-des-plaines-97451,"1227 E. Golf Rd., Des Plaines, IL 60016",(847) 768-1300
North Point Senior Living,27.7,https://www.aplaceformom.com/community/north-point-senior-living-72396,"3109 12th Street, Kenosha, WI 53144",(262) 553-1270
Victory Centre of South Chicago,38.5,https://www.aplaceformom.com/community/victory-centre-of-south-chicago-160266,"3251 East 92nd Street, Chicago, IL 60617",(773) 449-2600
Sylvan Crossings at Creekside Estates,48.1,https://www.aplaceformom.com/community/sylvan-crossings-at-creekside-estates-87675,"6180 S. Creekside Drive, Cudahy, WI 53110",(414) 762-7408
Hartwell Place,19.8,https://www.aplaceformom.com/community/hartwell-place-89742,"5520 N Paulina St, Chicago, IL 60640",(773) 275-2400
The Springs at Monarch Landing,34.8,https://www.aplaceformom.com/community/the-springs-at-monarch-landing-1379891,"2308 N Route 59, Naperville, IL 60563",(630) 300-1350
Home Inspired Senior Living - Bay Harbor,28.6,https://www.aplaceformom.com/community/home-inspired-senior-living-bay-harbor-1381884,"1201 Village Centre Dr, Kenosha, WI 53144",(262) 909-8344
Oak Park Arms Retirement Community,24.8,https://www.aplaceformom.com/community/oak-park-arms-retirement-community-89539,"408 South Oak Park Avenue, Oak Park, IL 60302",(708) 386-4040
